review_features,hotel_score
The hotel itself is in a lovely location and the rooms and interior have kept the rustic feel and decor of the old watermill which the building used to be. The rooms and bathrooms are spacious and comfortable and the big bath was a HUGE bonus for a weary traveller ! Access to the car park is tricky if you are travelling in anything bigger than an SUV and would be impossible in anything bigger than a Transit-style minibus as it involves crossing a narrow bridge which also bends at the end. However the hotel DO make you aware of this so its not a surprise. Im also not a fan of keypad after-hours entry which the hotel has but thats just me...,9
The area. The noise from other guests who came in at 2 am.,7.9
The location The guests were so rude and there was no place to drop the luggage before the check-in which is too late (16:30). Then as I only have one day in chimay and due to the late check-in hour I was not able to visit the abbey which was the purpose of my trip to chimay. ,5
Charming friendly and location Bed toilet and shower,7.5
Amazing romantic hotel in the heart of Chimay! The room was super clean and decorated in a unique and tasteful way. The staff is very friendly and the breakfast served is home-made and the best jam weve had. I wish we had booked a longer stay here! ,10
Located right across from the church in a cosy townhouse with a real Belgian feel. Excellent homecooked breakfast. ,8.8
Very cute b&b friendly owner great breakfast free parking lot just outside. Everything super clean and comfortable beds. Travelling with a friend but there was no real door between room and bathroom. Would be perfect for couples but now not much privacy.,10
Excellent location stylish room very tasty breakfast and friendly owners! ,9
great location very nice looking room nice and friendly owners. small bed,7
Wide and cozy room.Very nice breakfast. ,10
Wonderful B&B lovely individual rooms really comfortable and ith a friendly and helpful owner. Great location and great breakfast too. ,10
well located for the centre of Chimay friendly and helpful hosts Restaurants close by and easy parking. Cats free to roam the breakfast room,7.9
The personal welcome the delicious personally served breakfast with homemade jams and  pain perdu the convenient location along with the beautifully maintained authenticity of the building. A total gem!!  Nothing it was great,10
Central location. Property itself was not upto the standard we had come to expect on the the Continent considering the cost for a night is $125 we had stayed at far superior establishments for less money. However the proprietor was  very pleasant the breakfast could have been more substantial.,6.3
Very cozy and comfortable place in an amazing location in Chimay. The hosts were super friendly and welcoming! We would love to go there once again! ,8.8
Very kind Brigitte! Great breakfast! Too many stairs!,8.8
This is the most amazing property. A home from home as very well equipped. Excellent host. ,10
The property is clean and in a decent area. We were able to park our minivan on the street and only had to pay $6 per day for parking. The property is located about 1.2 miles from most of the restaurants and shopping so its a perfect way to eat and still get your exercise in at the end of the day. The owner of the property is extremely friendly and speaks great English. The only issue is the steps leading upstairs. They are extremely slippery especially if you are wearing socks. The steps on the last floor are even more narrow and more slick. If you have kids they need to be careful walking down. ,8
The townhouse is very spacious comfortable well equipped and clean. We had a friendly welcome by Sabine and communication before and during our stay was smooth. Parking garage close by the house came in handy. Location between station and city centre is good.Lots of stairs which could be an issue. ,9.6
The property was very well maintained and very clean. It also hade everything you would need such as towels linen full kitchen etc etc. Secure parking was very helpful as well. If I was to pick I would say no ground floor wc.,9.6
We loved everything about stay in the townhouse it really was exceptional. Upon arrival we were greeted by Sabine who was so welcoming and friendly. She took time to show us around the house which was perfect very clean and tidy.  Well presented and exactly like the pictures. She was even kind enough to put a welcome pack of food and drinks in the fridge. She showed us how to get to our destination and the best route to take. I cannot recommend staying highly enough it was a perfect visit and we are hoping to visit again next year. It couldnt be improved.,10
Beautiful modernized traditional Belgian home.  Very clean and well kept.  Only a 10-15 minute walk to the centrum shopping and restaurants.  It was a wonderful base to explore Ghent and the surrounding Flanders area (Brugges Brussels and Antwerp are all less than an hour away).  Parking is offsite but only a 3-5 minute walk to a secure garage in a gated enclosure.  Washer and dryer onsite.  The host is very friendly. Alot of stairs.  Enough stairs that if you left something on the top floor you really gave some thought about whether it was worth it go up all those stairs to retrieve it.  If you have mobility issues or knee problems this property might not work well for you.,9.6
The house is spacious luxury and homely at the same time. The top floor is a self-containing apartment with bathroom and toilet. The kids liked Netflix on the TV. Nice main bathroom with bath. Sabine is correct and friendly host gave us two separate front door keys. The parking place is actually a garage box 5 min walk away safe and secure but not very big - if you have a big car check with Sabine first. It is possible to park for a short time in front of the house (20 min free parking). The house has 3 floors and the stairs are pretty steep as often in Belgium. Not a problem for us but keep in mind if you have walking difficulties.,9.6
Everything was amazing. The hotel is well stylished and modern the rooms are big breakfast is delicious. This is a fully bio hotel and the lady took time to explain to us what bio ingredients are there in the food. Breakfast is included. You get welcome drinks free cakes roses. Couldnt have been better. Nothing.,10
The location was excellent right near the train station and 10 minutes from the beach. The breakfast was good and the staff was kind and attentive. The room was very clean and the everyday cleaning service was excellent. We also enjoyed a lot the little attentions we received every day: poem water desert fruit. I found the bed not entirely suitable for children as it was too high. The bathroom also does not have a separate space.,9
Very clean charming welcoming host and amazing breakfast ,10
excellent breakfast super comfortable room excellent service  ,9.6
The place was small and cozy. It was extremely clean and updated with modern furnishings. The bed was very comfortable the room was spacious enough the shower was wonderful and the breakfast was excellent. ,9.6
Excellent customer service the staff are extremely helpful! ,10
The staff is amazing too friendly!!! And the best was the breakfast. It exceed my expectations. The shower without door but the design works. Maybe the space between the bed and the tv wall is too short.,9
i would go back to blankenberge just for this place! take some time for the excellent breakfast! nothing,10
Super friendly staff went out of their way for extra wishes.Pets are very welcome. ,9.6
The staff the service the quality of the room the quality of breakfast the peaceful feeling in the hotel.  I liked everything no problem has been encountered. ,10
The hotel was beautiful only a few minutes walk from the beach and the centre of town.  The breakfast was superb and the freshly squeezed orange juice delicious! the staff were very friendly and helpful. Parking was advertised as secure on booking.com but when we got to the hotel it was on street parking. luckily we were able to remove everything from the car but secure parking was one of the things I looked for when booking the hotel.,10
Stayed at the ABC for one night on the 8th December as we were visiting Brugge.  The location is really good only a few minutes to the station and the train journey is under 15 mins. This is a really lovely hotel with extremely welcoming staff stylish modern rooms seriously comfy beds and a delicious breakfast.  The selection of artisan bread was incredible! We would like to come back in the warmer months and visit the beach!  Thank you for making our stay so enjoyable. Nothing!,10
Quiet location & near to the centre. Owner & staff excellent & very keen to pass on their knowledge of the area Nothing,10
Everything was fantastic. The level of finish and attention to detail was amazing. The best Hotel I have stayed in for a very long time and I stay in a lot! ,10
Very large rooms. Very clean. Helpful staff. Fabulous wifi. A bit of a walk to the main street of Middelkerke but we knew that going in. ,9.2
It was really nice. The hotel is good situated. Very clean and pretty.The receptionist was really nice and funny to talk to.Everything was perfect. We really recommend this hotel.  Nothing. It was exceptional.,10
The room was very spacious for the price and everything felt proper. Would stay there again. Getting to the beach to longer than expected. If that is the main destination another hotel would be the better choice.,10
Fantastic room with balkony. Beautiful ceramic floor and bathroom tiles. Perfect Colour-matching. Great taste. ,9
Dinner and breakfast were arranged perfectlyNice hotel clean rooms honesty bar delicious food  Nothing,8
Interieur staff very friendly.  Eveirhing was Perfect,10
We had to book a suite because the standard rooms were all booked. We did however not regret having want turned out to be a small appartment! New comfortably furnished we really did enjoy the place! Breakfast in Corona times is no longer fun because we are missing the choices coming with a buffet. That is NOT the hotels fault! However the coffee was really tasteless. And the bread was a little stale as well.,8
Very nice location hotel and room! Even with Corona the breakfast was superb! The staff is very friendly and always ready to help. We will come back! ,10
Nice leisure room for the kids + big room ,9
Spacious room with large bed. Good breakfast with scrambled eggs and bacon. Lots of bottled water gratis. Free coffee in the lounge/bar was a nice touch. Need a room with barrier free toilet. Scrambled eggs need to be kept warmer. A few snacks would have been nice.,8.8
Spacious places Second building still under construction noisy cart track next door,8
Luxurious room Noise from outside was enough to wake us,9.6
Spacious family room with excellent breakfast ( well arranged in this Covid situation). Location is fine. The  current available walking path to the beach goes through a semi- construction site and a bike path but still OK. The surface of the path can be challenging in slippers. I understand that there is another path currently closed down due to works.,8
The room was great and the attention from the staff The room was not thoroughly cleaned every day and we would have loved to have air conditioning,9
Breakfast was good and this place suits us very well.  Perfect location and house has great style. Pillows - hard as a rock.  Thats it really!,9.6
- super clean - great location - good breakfast Super recommended!  Nothing,10
Excellent host very charming authentic building with all characteristics on display. Very clean. Lovely area. ,10
Hosts were responsive. The room is outstanding. Situated in a really nice bohemian area. Breakfast offerings were maybe a little light but still pretty good.,10
Beautiful room with very stylish en-suite bathroom. The host was very helpful. Good location right next to metro stop. The parking was a fair distance from the property. The lady at breakfast told us off for not wearing masks in the dining room even though we were there to eat. She then shut the door and the windows were shut whilst there were other guests in the dining room.,8
Nice and charming place. Well located with a private parking close to the center. Spacious and very clean it was a pleasure to stay there ,10
Modern rooms in a charming house with lots of character - delicious breakfast ,10
It was simply a great time spent in Brussels. The owners are very willing and forthcoming people who make your stay to feel like home - and feel really the good old Brussels. Thank you very much! ,10
Beautiful historical building with comfortable charming rooms. Welcoming guests with a Belgian beer is a nice touch.  The owner Paul was extremely nice and helpful. The b&b is in a quiet neighborhood but is conveniently located a few tram stops away from the city center. Very good breakfast. Highly recommended. There is nothing I disliked about my stay. The only thing that could be improved I suppose is the quality of the toiletries (shower gel and shampoo).,9.6
The overall art nouveau atmosphere of the house was splendid! Also the breakfast was proper fresh and ready upon our request at a rather early hour:-) In house parking price could have been more guest friendly otherwise everything was fine,8.8
Very friendly staff free drinks/beer around the clock. Not everybody of hotel staff speak English..,8
Hotel Location. The noise outside the window.,6.7
Great accommodations beautiful interior design and a great breakfast service. The host was also very helpful and communicative we couldnt have found a better place to stay while in Brussels. Definitely recommend this place to anyone looking for a cool and welcoming place to stay. ,10
The very nice service. The rooms style and equipment. The location is spot on. Cold floors and high ceilings,10
Beer on arrival! Really helpful host and beautiful room.  Great location by the tram Nothing,9
Paul is an excellent host. The great view of the room  on the garden. The  integration of the new realizations in the older ones. The place is well connected by tram 3 and 4 ,9.2
The place was very nice the bed was big and comfortable.    Breackfast war realy nice with bio products.  I would stay there  again. ,10
Location quiet and very stylish property. Pillows need upgrading and breakfast could offer more than just scrambled eggs.,8.3
The staff was very kind.  Nice room and bathroom good breakfast.  Tram stop right at the door. There was no elevator,8.8
We dont live that far away but Julien sent me a text the day before the stay with very detailed instructions. It couldnt have been easier to find the place check in and park the car. If youre not driving there is a team stop virtually at the front door. Nothing all good.,10
A beautiful old typical Belgian town house close to the tram stop. Noise from the next room occasionally,9.6
Cant praise it enough. Very nice hotel comfortable room big size bed location is superb. Most importantly Paul was a great host. We were given clear instructions regarding the parking and he was very helpful throughout our stay.  The breakfast staff member doesnt speak any English so communication can be a bit challenging if your French is limited.,10
Across street from tram in a beautiful local (non-touristy) neighborhood of Brussels. Very hospitable owner family. We like staying in places with local character and this place has it yet the rooms are modern and very clean. Good bathroom and shower comfortable bed and linens. The price is right. In my opinion a small change I wish for is more separation between the bedroom and bathroom and more soundproofing but we recognize this may be difficult for this particular space/architectural plan. It was still ok for us. We would absolutely stay there again.,8.3
Everything. A beautiful house great room and secure parking. Thank you to Paul (the owner). ,10
Location owners very friendly and helpful ,9.2
Roomstyling very beautiful Staff very friendly. We could park the car in a private place. They gave us a card so we could use public transport without fuzzing about a ticket first. Breakfastroom is not in the same beautiful stile as the rooms are but serves perfectly for its purpose.,9.2
This B&B is located in a very beautiful house which on its own is worth a visit. The b&b keepers are very friendly and accomodating. The rooms are spacious and modern but with respect to the old features of the house. The tram is right outside the door which will take you to the city centre in 10-15 min. Nothing really but if Id have to nitpick id say that some places could use some extra dusting (but this was minor).,9.2
Very nice room with free parking inside in the garage Clean good location.Front of the property is a tram station.The breakfast was nice and the croissants was delicious  ,10
Brilliant so convenient couldnt be closer to a main line tram stop! Excellent value! Great hosts. Simple/basic but clean and chic! I travelled alone and felt very safe in the area and getting around!  ,10
From arrival to departure youre in a great place safe and confortable. We enjoyed the calm and the nice accommodation. The owner came introducing himself and was very kind to offer a drink. Not any item about this to say all was wonderful and fine.,9
The style of the property mixes contemporary with traditional is a harmonious way.  The staff were friendly and spoke English fluently.  The car parking was safe and adjacent. The breakfast was delicious and kept us going all day. I wondered if our room (which was decided off from the one next door by sliding pocket doors) was as private as if there had been a wall instead. At times I could hear the next door floorboards creak but that is always a feature of old buildings.,9
Very friendly staff clean room convenient parking good breakfast. It was not a problem for me but it might be a bit noisy when more guests are staying in the hotel due to limited soundproofing.,10
Excellent hosts who made our stay very enjoyable a nice renovated product in a beautiful old building in the Forest area of Brussels Tacky breakfast room,8.8
The best accommodation Ive ever had in Brussels! Renovated room stylish look comfi bed good heating system fresh breakfast Nespresso coffee always available location is excellent friendly helpful and flexible staff.  It was tricky to find it at first because only a small sticker (4*1 cm) on the door indicates that youre at the right place. Other than that everything was just perfect.,10
Very nice and hospitable people and Good area of the city Nothing,8.3
Location is good! 5 stops from Bruxelles Midi very convenient. The breakfast is also great.  Nothing,7.5
Really helpful staff very clean room variety of local beers in the fridge great breakfast.  ,10
Beautiful house nice decorated with high ceilings. We enjoyed very much our stay here.  ,9
The B&B was located conveniently next to a metro stop so we were able to be anywhere in the city within minutes. Paul the owner had already loaded tickets onto a metro card for us so that we could immediately get to our sightseeing. Breakfast was simple but very tasty and we were made to feel very comfortable. ,9.2
the character: elegance and authenticity with style ,10
Very charming decorated and furnished in keeping with the age and style of the building A bit noisy as the trams are just outside,8.8
The room and the building are elegant and beautiful. ,9.6
Well located great staff made for a great home base in Blankenberge. ,9
The staff were incredibly helpful and friendly. The hotel was clean and modern and the breakfast (delivered to the door) was more than enough! Would certainly recommend as a good-value-for-money stay in Blankenberge! Nothing. ,8
Everything was as it should be. Staff friendly (both during the communication before arriving and on location) facilities are clean breakfast has something for everyone. Although check-in is officially after 14.00 we were able to park and check-in at 10.30 which allowed us more free time to explore the town. They also have a nice small childrens play area in the lounge which is nice for families with small kids. We liked everything.,9.6
The room was clean good shower very friendly staff perfect location and above all breakfast was fantastic. Just one minor thing: an additional bin would be useful.,10
Breakfast- exceptionally good solution during COVID. A little bonus was a glass of sparking wine :-). Service was super kind and helpful. Bed was very comfortable. Spa facilities- very clean and relaxing space. Screeching floor in the room.,8
It was very close to the beech and was basically in the town centre we didnt require to use our car . All in all it was perfect for us .  Nothing,8
Room very clean and cosy Perfect location for me just 5 minutes between the train station and the beach. in a quiet walking street Excellent free wifi Staff very kind and helpful Excellent and copious breakfast served in room due to covid restrictions Extreme high value for the price I liked everything really,10
I love the staff they are really accomodating friendly and warm welcoming. The breakfast is excellent ! The room is clean expect I can hear some noise outside but its totally fine. The location is perfect for shopping and groceries and perfect for summer !Handsdown to their lounge i find it so peaceful and romantic !!  During the night there is a strange sound like its like a drops of water through out the night seems like that. Also the sink in the bathroom doesnt drain well :),10
The breakfast is excellent. Owner and staffs are very friendly It is definitely worth to come back again ,9.2
The place is cozzy and confy. The service is amazing all of them are extra nice. The room was perfect for us. The pillows could be better.,9
The staff was wonderful: very friendly supportive without being overimposing. The room was great spacious well equipped clean. The excellent breakfast was delivered to our room due to COVID which was great perfectly on time fresh coffee copious.. ,9
Friendly staff and amazing breakfast buffet. The best location. Close to shops the beach and easy transportation maybe provide iron & iron board,9.6
Sunday my wife and I checked in in the Alfa inn hotel in Blankenberge. Is already our second stay there. Rooms werent ready because we were early immediately we got an upgrade to another very beautiful room. Wow!! What a room. Amazing. The lady at the front desk was very helpful and kind. The next surprise is the breakfast basket. I am a big eater but we had to struggle to enjoy it all. Thank you you have 3 stars but this place surely deserves 5 stars. We will be back!!!!To the staff of the Alfa inn hotel. Two thumbs up So if you ever wanna stay at Blankenberge. One place to go overnight. The Alfa inn hotel ♥️ All was fine and great,10
Everything was better than expected enough said Fridge didnt work,10
The B&B is amazing so clean and welcoming and in a great location! The rooms are beautiful and the host is very helpful. ,9
Great location from which everything was easily accessible. We had a lovely and comfortable room and the breakfast was great. Would recommend this place to everyone going to Brussels.  ,9.6
A beautiful BnB in the heart of Brussels.  I travel often and I have finally found a place that feel like a home. Friendly staff and beautiful decor. ,10
Very nice place to stay. Great location. Very clean hotel. The stuff was very friendly and helpful. We highly recommend it to anyone. Thanks for everything. ,10
Location was very good. The bed was comfortable. Internet connection was weak. Shower was not as clean as we hoped.,9.2
very tidy room modern and functional equipment very friendly personnel central location environment is not very appealing after shops close room can be locked from outside but not from the inside,8
 Highly recommended!! Vinciane was so generous to upgrade us to the apartment on top floor. Although there is no lift it is worth the stairs..spotless clean kitchen with all ameneties and toiletries provided. We also found a free bottle of champagne and an aroma diffuser as a gift! So sweet! And Alison is the best! Very helpful always smiling and hard-working! Breakfast was nice although it could have some more variation such as eggs and fruits. Location was super..but not if you dont wont to spend money ) as it is in the centre of a long street filled with shops. perfect for women :D walking distance to all atttactions,9
Fabulous stay! The place is cozy comfortable and clean and the staff is accommodating and nice. I really enjoyed my time there and wish I could have stayed longer! ,10
The location is great if you like shopping eating or have to be in the neighbourhood. The best thing about the place is the huge living room/eating place where you can work and relax. The staff is friendly and efficient. I stayed in a room where walls bed linnen etc where all black. Im not a big fan but that is personal taste.  I was afraid the room would be noisy due to the busy street below but that was ok.,9
It was my fourth stay - and every time was excellent. ,10
Probably everything. The staff person was very friendly and helpful. Very personal approach as well feels very cosy there. The breakfast was great too.  And the location is nice - you are next to everything in the center of Brussels. I guess nothing. Only that the during my previous stay I had a bigger room but thats not important.,9
Beautiful and clean rooms warm welcome.  ,9.6
Perfect location making it easier to navigate the city.  Very clean and the host who welcomed us was very lovely. Would definitely stay here again ! ,9.2
If you have to stay in Brussels this is the place. Slightly quirky in a very comfy sort of way. Very tasteful. Very good extremely friendly service but with complete privacy. Nothing,10
Very central - easy access to the train to the Brussels Airport as we had an early departure. Great welcome - clearly a keen aesthetic sense as the property has some beautiful art furniture and finishes. We will come back for longer next time. Lots of stairs which is a pain with big bags but that is the nature of inner city living. We were travelling for a month so had a fair bit of gear to deal with.,10
Comfortable accommodation with an exceptionally good service good central location especially for business traveller. ,9
Very friendly and helpful staff. Also great position and comfy room. ,8
Great place. Very nice host and comfortable working space. Good beds and facilities good coffee to take to needs decent wifi and nice atmosphere. The only small downside was that the area is a bit noisy. A pub downstairs was not a problem since rooms are on top floor but some rooms are quieter than others.,9.6
A lovely place with lovely people in a great location. If youre driving you need to park in the city2 shopping Centre then use the app to go outside. The sign is small its beside a pub.We had a wonderful stay and wished we stayed longer  ,10
The owners were very friendly they are lovely and dedicated people. There were construction workers working through the night! This was unpleasant!,9.6
A beautiful premise with an amazing and kind hostess.  The place is gorgeous very well located (right in the center of Brussels) and the accommodations are top notch. I cant think of a single thing that could be improved even the specific measures against Covid are well thought and efficient. Would come back again anytime ! Thanks a lot Vinciane :) I cant think of anything.. It was really perfect,10
Very good location and value for money. Breakfast was good continental one ! ,10
Good for overnight stay location was everything ,7.9
Breakfast was fine and the limited staff were very friendly. No Air Con in very hot weather. Did have a fan and slept on top of bed.,7.1
Great location with free parking on the road outside. Room a little on the small side.,7.1
Close proximity to Menin Gate & Market Square parking right outside.  Spacious rooms.  Hotel was very clean and tidy and quiet.  We had a room that overlooked the road but did not hear any traffic noise. Couldnt check in until 4.00pm.  We had riden 250 miles and arrived at 2.45pm to be greeted with check in at 4.00pm.  Fortunately they allowed us to leave our biking gear in the corridor and get changed as it was 34 degrees that particular day.,7.9
The location was excellent.  The breakfast was varied. There were no staff on duty overnight.  There was a crack in the bedroom window and a hole in the bathroom ceiling with wires hanging down.,5.4
Great locationExcellent breakfast choiceFriendly and helpful chap on reception The bed pillow was too largeNo free parking close by or on-site. I used the parking meter on the street with an app.,7
Nice location Some areas of the hotel were a bit tried but other areas were well maintained,7.5
Great Hotel in excellent location..Check in staff very Helpful & friendly..Clean rooms & comfy Bed! Breakfast buffet in lovely room also.. ,10
Central location No facilities in room for coffee or tea etc. At £150 for a room for 3 and in 2019. I dont think having tea or coffee facilities are too much to ask. Wouldnt stay again as I have stayed at much better equipped hotels in Ypres just as central. Old room need updated and has the feel of an old guest house. ,7.1
Excellent..Great Rooms & all amenities..Gracious & friendly Host reception staff & check in very good. Light Breakfast was sufficient & welcomed. ,10
Good location near the square and Menin Gate. Room was comfortable and breakfast room was clean and pleasant and  provided a range of options. ,7.1
Room was clean .small but couldnt fault it..you have to start the heating by yourself room wasnt pre warmed..TV bit useless ..no international news channel.. WiFi worked well enough..breakfast adequate..no tea coffee facilities in room..want evening meal try the ypres burger bar ..really nice burgers..almost everyone happy to talk English..all in all ..great ..paid my respects to those who didnt return after the ww1.. Right near the main square..parking is by machine till 6pm then free till 8am..not hard to find past the ww1 gate memorial..,8.8
Very friendly reception. Nice rooms with a joint terrace outside.Great breakfast Everything was okay.,8
Value for money was excellent room size location was great and the hotel reception was good. Also garage parking for up to 6 motorcycles (at a push) Its a minor point but water for boiled eggs needs to be boiling! Also a bigger toaster would help but all in all not a bad stay and value for money. Being able to arrive and drop things off would help as the check in time is 4 pm.,8.3
Central location Tea and coffee in the room would have been good we wake early and would enjoy a coffee in room rather than wait till breakfast at 8 am,7.5
Breakfast was good.  Breakfast room was attractive. There was no facility for making tea or coffee in the room. Supply of soap was meagre.,7.1
 Room was very cold on arrival beds were uncomfortable,6.3
Location and easy access to room Very cold room in the evening no extra blankets. not possible to turn heating on. water not hot enough at the taps but a good shower.,6.7
Location price and helpful staff Breakfast poorSmell in entrance hall,7.9
Excellent breakfast comfortable room very helpful and friendly staff top location. ,10
Location parking undercover on site for our motorcycles allowed allowed to leave bikes in garage after checkout time.  Breakfast was fine. Steep stairs and room a little cramped,7
It was how you would expect in a Belgian hotel. Nothing,9.2
Situated 1 minute walk from the town centre. Polite friendly and informative staff. Very good breakfast. Good value for money.  Tiled floor in rooms very cold even with radiator on.,8.8
Fathers room was ground floor My room was up two flights of stairs. I struggled to safely get my luggage up and had to leave my case in my dads room as I couldnt manage it. There is one staircase which is marble and open to the side and this made carrying hard. There was no offer of help. We were first to check in but their response was simply tough all rooms were allocated but at breakfast the following morning most were occupied by younger men.,5.8
Central for Ypre. No car parking. However plenty of parking nearby. Payable.,9
Breakfast was good and varied the location was very convenient for sightseeing and the Menin Gate. Check wasnt until 16.00 hrs and there is no access to the Hotel before this time so if you arrive and wish to drop your baggage there for safe keeping this is not possible! There is no lift and the Staircase is not very wide with Marble steps and there is no Handrail on the outside which makes carrying luggage up the staircase quite precarious could be a serious problem for older or less able visitors!,7.9
Good location with friendly and helpfully staff. ,9.2
Comfortable rooms and very clean Narrow staircase,7.9
Location spot on Parking a bit iffy but expected for the location,9.2
The breakfast was excellent and good value for money.  The breakfast table was topped up regularly and everything was fresh. There was plenty of choice and the it was served in a lovely dining room it was like being in alarge house rather than a hotel. Nothing everything was perfect and far surpassed my expectations. I would certainly recommend it to friends and I would stay there again if visiting Ypres. It was ideally located and within easy reach of all the main attraction.,9
Visited previously and like the hotel would stay there again ,9.6
 Parking not directly at hotel because of street building works - also made hotel a bit hard to find - presumably only a temporary problem,8.8
The location cannot be faulted a few paces away from the main square. Free parking available about 10 minutes from the hotel on the road after Menin Gate which is called Leopold III Lan. Breakfast was OK. As I think others have stated its a bit more like a B & B than a hotel. Door is locked by 10.00 and once much earlier so you have to access with a code which is not a problem. Ypres has very good restaurants and bars and the In Flanders Fields museum is excellent. There are about 6 chalet style rooms to the rear of the hotel and we had one of those. Decor and facilities I would best describe as basic. Towels extremely thin. Rooms may be better in the main hotel.,5
It was okay but I was a bit lonley as I was the only one staying at the hotel There was no  coffee and tea in the room,8
Great location good sized room friendly staff lovely breakfast.  Not a modern hotel very dated but adds to its charm. Not having a proper exterior window.  There was a roof light that operated from a control unit so still had fresh air and view of the sky.,8
Breakfast was fend for yourself which was ok it was quiet as only appeared to be 2 people staying the breakfast area decor looked old day style that l really liked but might not be to everyones taste. The owners kindly let me park my motorbike in their garage area. My room on the ground floor only had a velux style roof window that closed when it rained (obviously) no other windows for natural air in the room just felt a little airless and stuffy even though there was a fan. Cannot comment on the other rooms.,7.9
The location was great The limited time slot in the afternoon in which you could check-in,8.3
Superb location very secure parking for my motorcycle very clean very friendly host  I cannot fault this hotel  ,10
Older style hotel. No elevator but beautiful sold marble stairwell. Small but comfortable room. Great location right in the middle of the downtown. Nothing,10
Central location  Good breakfast Pricey for one person,7.9
Very well locatedBedrooms better than photos Dated and needs a bit more for the price,6.7
The location was just right. Couldnt get a coffee  only at breakfast time. Room could have been a little cleaner  especially tv and remotes. ,4
Owners friendly and happy to help with most things. Perfectly situated We had an issue with the power blowing in the evening. I call the owner who doesnt live on site and they arrive in approx 15 mins & switched back on but unfortunately the heating did not reset and room was cold. When I mentioned to the owner he said I should of turned the bathroom heater on but this was on a timer and could not be felt in the bedroom.,7
location is great very  clean rooms friendly staff have been 4 times to this hotel would go again there was nothing to dislike,8
Location Draconian rules. Check in not allowed until 16:00 not a minute earlier. No food or drink in rooms despite bar closing at 22:00. Massive sign no picnicking refreshments available at the bar outside the rooms in annexe at rear. ,5.8
Location The check in time is to late we got there at 2 but couldnt check in till 4 ,7.9
Very handy for the attractions of Ypres.....for  a group of men staying in individual rooms it was just what was required. Paid parking a bit of a problem with hotel street and main square blocked off for the weekend by a festival of running...but just bad timing...,7.9
Good breakfast central location.  Comfortable bed. Shower was tepid but resolved on second day.  Radiator was a bit noisy.  Limited storage space. While not expecting a lift the stair to the second floor is rather steep.,6
The bedding is great. It was one of my best sleeps ever. Appreciated  the idea with vouchers for days without cleaning. Gladly converted mine into coffees. My room was too dark for my taste. If the table could be positioned at least partially closer to the window it would be brilliant.,8
 Parking outside of the hotel is not easy.,9.2
I liked everything at this hotel: the room and the breakfast also the staff was super friendly! They listened to what we needed and helped us to organise a small private reception. Big compliments to this hotel and my recommendations!   ,10
Not my first time it. Like it. But why are they so slow with check-in. So annoying.,8
Room was excellent. The area was fantastic - great if you want to know more about the European Parliament and a bit quieter and less touristy than the centre. A great Paul around the corner. The gym was also really good. The room was excellently designed. Reading material was included that was actually really good. The soap dispenser in the bathroom was a bit malfunctioning.,9.6
Great location modern hotel nice breakfast More Dutch/Flemish tv stations would be nice!,8.3
The room is spacious with modern and efficent design very well organized and comfortable big desk if you need to do some work very clean too. Location is great: in the heart of the European quarter. Complementary tea coffee and bottled water. ,9.6
staff always ready to help everything is smooth and clear. you dont have to make big efforts the whole thing just works pretty well. cant mention anything,10
